folder,num_probes,best_single,worst_single,inverted_probes,union_min,union_median,union_min_tpr,union_median_tpr,union_min_fpr,union_median_fpr
swin_tiny_badnet_a2o_0_05_evade_l1,4,0.9721236179168239,0.006541203354692802,1,0.9318290692926247,0.9307762517276039,0.9973614811897278,0.9607990980148315,0.2511250078678131,0.2631250023841858
swin_tiny_badnet_a2o_0_1_evade_l1,4,0.9538351708757381,0.006897529526322398,2,0.8500290394521924,0.5553398903756753,0.9863048195838928,0.1899736076593399,0.24762499332427979,0.25699999928474426
swin_tiny_blend_0_01_evade_l1,4,0.996615890815429,0.7809914483603467,0,0.985833278364116,0.9874408217112702,1.0,1.0,0.26899999380111694,0.26600000262260437
swin_tiny_blend_0_05_evade_l1,4,0.9623938779997486,0.004452577271013949,1,0.8757870492524187,0.9407325354944089,1.0,0.9899485111236572,0.25450000166893005,0.2696250081062317
swin_tiny_blend_0_1_evade_l1,4,0.9643608807639149,0.00010568224651338167,2,0.893047077208192,0.6976315491895967,0.9998743534088135,0.5079783797264099,0.2592499852180481,0.2567499876022339
swin_tiny_bpp_0_01_evade_l1,4,0.9877709040080411,0.792557733383591,0,0.9839945423420029,0.91771218117854,0.9797713160514832,0.9737403988838196,0.2592499852180481,0.25725001096725464
swin_tiny_bpp_0_05_evade_l1,4,0.9903579281316749,0.028800257570046468,1,0.9837987027264732,0.9832662159190853,0.9908279776573181,0.9925870299339294,0.2641249895095825,0.25450000166893005
swin_tiny_bpp_0_1_evade_l1,4,0.9968197952004021,0.010753926372659876,1,0.9953408091468776,0.989835461427315,0.9966076016426086,0.9963563084602356,0.2628749907016754,0.2641249895095825
swin_tiny_lc_0_01_evade_l1,4,0.5909185356200528,0.41371991613268,3,0.5257890438497298,0.47322819292624707,0.2873476445674896,0.20505088567733765,0.2515000104904175,0.25337499380111694
swin_tiny_lc_0_05_evade_l1,4,0.7904116094986807,0.44253420655861286,1,0.7287402704485488,0.5857089065837418,0.62105792760849,0.23168739676475525,0.25587499141693115,0.24312500655651093
swin_tiny_lc_0_1_evade_l1,4,0.5546167075009423,0.4137398935167735,2,0.4455091484482975,0.4763673121623319,0.15240608155727386,0.17276039719581604,0.24812500178813934,0.25862500071525574
